CCOc1ccc(N=C(N)N=C(N)N)cc1 CHEQLSSMGDBGBI-UHFFFAOYSA-N
COc1cccc(N=C(N)N=C(N)N)c1 SJFWTWHMHDOKLE-UHFFFAOYSA-N
COc1ccc(OC)c(N=C(N)N=C(N)N)c1 CQZWWPQYTPYYAE-UHFFFAOYSA-N
CCCCNS(=O)(=O)c1ccc(NC(=O)C(Cl)(Cl)Cl)cc1 BDZAJGMDKFYQCV-UHFFFAOYSA-N
Cc1ccc(C)c(N=C(N)N=C(N)N)c1 BLPASGLAKXDURP-UHFFFAOYSA-N
Cc1ccc(N=C(N)N=C(N)N)cc1C VFRGNRZIYZQAOC-UHFFFAOYSA-N
CCCN(CCC)S(=O)(=O)c1ccc(NC(=O)C(Cl)(Cl)Cl)cc1 WFMVFIYQPAXONU-UHFFFAOYSA-N
CC(C)(C)NS(=O)(=O)c1ccc(NC(=O)C(Cl)(Cl)Cl)cc1 KGYQRGXFOKPZDO-UHFFFAOYSA-N
COC(=O)NCCc1cc(OC)c(OC)cc1S(=O)(=O)NC(C)(C)C SOJQYLKYPWFEBD-UHFFFAOYSA-N
COc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O ASODNZCPFZQUKR-UHFFFAOYSA-N
O=C(O)COCC(=O)Nc1ccccc1 LXDURDIZZUUDNF-UHFFFAOYSA-N
CCCCOc1ccc(OCCNC(=O)CC)cc1 KIFKUMPVMHUQKG-UHFFFAOYSA-N
Nc1cc(Br)cc(Cl)c1N VLJIODKDXFJLRA-UHFFFAOYSA-N
COc1ccc(I)cc1OC(C)=O OYSUHSDINJVPEG-UHFFFAOYSA-N
COc1c(C)cc(Br)cc1C(=O)O BYGJVQRRBRCFSQ-UHFFFAOYSA-N
COC(=O)CNc1ccc(C(=O)OC)cc1[N+](=O)[O-] WABUYJXRDJWTKO-UHFFFAOYSA-N
CN(C)/C=C/c1cc(C#N)c(C#N)cc1Br COXJPCXNCSKRJG-ONEGZZNKSA-N
CCCCN(CCCC)C(=O)c1cc(S(=O)(=O)N(C)C)c(Cl)cc1Cl CMEGSHYBGCJHDV-UHFFFAOYSA-N
Nc1c([N+](=O)[O-])cc(F)c(NCCO)c1Br NQXJBWDIWFRTOQ-UHFFFAOYSA-N
COc1c(Cl)cc(Cl)cc1C#N JJBFMJTVXOXDEC-UHFFFAOYSA-N
CCN(CC)CC(=O)Nc1cc(OC)c(OC)cc1C#N HVXKWUADFCSFOS-UHFFFAOYSA-N
OCCOc1ccc(Br)cc1CO YSKINKWMKLJUMS-UHFFFAOYSA-N
N#CCC(O)COc1ccc(Cl)cc1 LCRZUPUZVGGZJD-UHFFFAOYSA-N
